Id	Lobe	X	Y	Z	Property1	Property2	Property3	Property4	Property5	Property6	Property7	Property8	Property9	Property10
31	Lobe3	7	-9	-10	0.77	6	-1	Layer1 Label	-5	7	6	5	Layer2 Label	Layer3 Label
32	Lobe3	-5	-7	-4	0.57	9	2	Layer1 Label	1	3	7	4	Layer2 Label	Layer3 Label
33	Lobe3	-5	4	-4	0.45	23	-4	Layer1 Label	-5	10	10	10	Layer2 Label	Layer3 Label
34	Lobe3	-9	10	2	0.67	9	-2	Layer1 Label	-4	3	5	5	Layer2 Label	Layer3 Label
35	Lobe3	3	-9	9	0.59	11	1	Layer1 Label	-2	9	5	3	Layer2 Label	Layer3 Label
36	Lobe3	-1	-6	6	0.66	19	-1	Layer1 Label	-3	10	10	5	Layer2 Label	Layer3 Label
37	Lobe3	-6	-4	-9	0.48	10	-2	Layer1 Label	0	10	10	4	Layer2 Label	Layer3 Label
38	Lobe3	-8	3	9	0.7	5	-2	Layer1 Label	-3	3	9	4	Layer2 Label	Layer3 Label
39	Lobe3	3	4	-1	0.95	23	-6	Layer1 Label	-4	5	10	5	Layer2 Label	Layer3 Label
40	Lobe3	1	-6	0	0.48	8	-4	Layer1 Label	-5	0	7	9	Layer2 Label	Layer3 Label
41	Lobe4	2	8	0	0.83	22	-4	Layer1 Label	-5	8	6	9	Layer2 Label	Layer3 Label
42	Lobe4	8	0	4	0.55	17	3	Layer1 Label	-2	1	10	9	Layer2 Label	Layer3 Label
43	Lobe4	0	-1	1	0.94	7	-3	Layer1 Label	0	5	7	0	Layer2 Label	Layer3 Label
44	Lobe4	-6	-6	8	0.84	10	-2	Layer1 Label	-1	4	5	3	Layer2 Label	Layer3 Label
45	Lobe4	4	7	-4	0.87	23	-1	Layer1 Label	0	3	9	5	Layer2 Label	Layer3 Label
46	Lobe4	3	4	-9	0.8	22	-1	Layer1 Label	-2	8	9	8	Layer2 Label	Layer3 Label
47	Lobe4	-3	-8	6	0.25	22	2	Layer1 Label	0	8	7	6	Layer2 Label	Layer3 Label
48	Lobe4	0	-4	-5	0.39	11	0	Layer1 Label	0	0	10	6	Layer2 Label	Layer3 Label
49	Lobe4	-4	0	4	0.21	6	-6	Layer1 Label	-2	9	10	7	Layer2 Label	Layer3 Label
50	Lobe4	10	-8	9	0.39	7	-1	Layer1 Label	0	4	5	4	Layer2 Label	Layer3 Label
51	Lobe4	2	3	-5	0.7	22	2	Layer1 Label	-3	8	5	7	Layer2 Label	Layer3 Label
52	Lobe4	-5	-5	-3	0.74	7	-1	Layer1 Label	-3	3	7	8	Layer2 Label	Layer3 Label
53	Lobe5	-4	1	2	0.23	20	1	Layer1 Label	1	7	9	5	Layer2 Label	Layer3 Label
54	Lobe5	-10	9	-1	0.58	11	3	Layer1 Label	-1	0	6	3	Layer2 Label	Layer3 Label
55	Lobe5	5	-7	9	0.24	22	-3	Layer1 Label	0	5	8	10	Layer2 Label	Layer3 Label
56	Lobe5	-5	6	-3	0.04	18	-4	Layer1 Label	-2	4	6	6	Layer2 Label	Layer3 Label
57	Lobe5	6	10	3	0.12	15	-6	Layer1 Label	1	6	8	2	Layer2 Label	Layer3 Label
58	Lobe5	5	-9	1	0.83	22	0	Layer1 Label	-2	5	10	5	Layer2 Label	Layer3 Label
59	Lobe5	-7	-5	-10	0.03	14	0	Layer1 Label	0	2	6	7	Layer2 Label	Layer3 Label
60	Lobe5	8	5	10	0.59	13	0	Layer1 Label	-3	5	7	0	Layer2 Label	Layer3 Label
61	Lobe5	9	-6	-3	0.72	20	1	Layer1 Label	-3	7	7	5	Layer2 Label	Layer3 Label
62	Lobe5	1	3	6	0.87	13	-1	Layer1 Label	-2	9	7	5	Layer2 Label	Layer3 Label
63	Lobe5	7	-6	7	0.46	17	-4	Layer1 Label	0	1	10	0	Layer2 Label	Layer3 Label
64	Lobe5	-2	1	0	0.45	13	-6	Layer1 Label	-4	7	5	7	Layer2 Label	Layer3 Label
65	Lobe5	0	-5	-10	0.75	5	3	Layer1 Label	0	9	10	3	Layer2 Label	Layer3 Label
66	Lobe5	4	10	2	0.93	23	2	Layer1 Label	-2	0	7	4	Layer2 Label	Layer3 Label
67	Lobe5	-8	8	9	0.53	6	-3	Layer1 Label	-1	3	8	8	Layer2 Label	Layer3 Label
68	Lobe5	9	-6	10	0.56	8	-3	Layer1 Label	-2	6	5	6	Layer2 Label	Layer3 Label
69	Lobe5	7	1	-8	0.09	20	-5	Layer1 Label	0	5	5	0	Layer2 Label	Layer3 Label
70	Lobe5	-1	6	1	0.18	18	-2	Layer1 Label	-4	0	8	6	Layer2 Label	Layer3 Label
71	Lobe5	5	-4	-9	0.21	12	-6	Layer1 Label	-3	10	10	0	Layer2 Label	Layer3 Label
72	Lobe5	9	-10	-3	0.99	8	-6	Layer1 Label	-1	2	8	3	Layer2 Label	Layer3 Label
73	Lobe5	-1	4	4	0.61	17	-4	Layer1 Label	-3	3	10	0	Layer2 Label	Layer3 Label
74	Lobe5	-2	-1	-6	0.31	13	1	Layer1 Label	-3	8	9	0	Layer2 Label	Layer3 Label
75	Lobe5	-3	0	-9	0.2	5	-2	Layer1 Label	-3	9	7	10	Layer2 Label	Layer3 Label
76	Lobe5	5	10	-9	0.72	5	-4	Layer1 Label	-4	3	8	6	Layer2 Label	Layer3 Label
77	Lobe5	9	7	-10	0.9	20	0	Layer1 Label	-2	7	7	7	Layer2 Label	Layer3 Label
78	Lobe5	-3	-7	-9	0.79	10	-2	Layer1 Label	1	1	9	3	Layer2 Label	Layer3 Label
79	Lobe5	0	7	-5	0.91	9	0	Layer1 Label	-3	2	9	6	Layer2 Label	Layer3 Label
80	Lobe5	-1	1	8	0.51	10	-1	Layer1 Label	-3	1	6	9	Layer2 Label	Layer3 Label
81	Lobe5	-8	2	9	0.76	6	-1	Layer1 Label	1	7	6	0	Layer2 Label	Layer3 Label
82	Lobe5	0	-8	10	0.52	19	0	Layer1 Label	-4	10	5	7	Layer2 Label	Layer3 Label
83	Lobe5	-1	7	-2	0.8	8	-3	Layer1 Label	0	2	7	7	Layer2 Label	Layer3 Label
84	Lobe5	-2	8	7	0.02	18	-1	Layer1 Label	-3	4	9	10	Layer2 Label	Layer3 Label
85	Lobe5	-9	3	3	0.74	12	-1	Layer1 Label	-4	1	5	3	Layer2 Label	Layer3 Label
86	Lobe5	8	2	2	0.54	10	3	Layer1 Label	-4	0	7	5	Layer2 Label	Layer3 Label
87	Lobe5	-6	-7	-6	0.44	22	1	Layer1 Label	-3	6	5	0	Layer2 Label	Layer3 Label
88	Lobe5	3	0	-5	0.98	10	-3	Layer1 Label	1	10	8	4	Layer2 Label	Layer3 Label
89	Lobe6	4	-6	2	0.53	8	-1	Layer1 Label	-4	1	6	2	Layer2 Label	Layer3 Label
90	Lobe6	3	-8	-10	0.26	23	-3	Layer1 Label	0	1	7	2	Layer2 Label	Layer3 Label
91	Lobe6	-6	0	2	0.93	5	-3	Layer1 Label	-2	8	10	4	Layer2 Label	Layer3 Label
92	Lobe6	2	-5	-5	0.27	20	-6	Layer1 Label	0	0	6	1	Layer2 Label	Layer3 Label
93	Lobe6	5	-8	1	0.38	12	-5	Layer1 Label	1	10	10	0	Layer2 Label	Layer3 Label
94	Lobe6	-8	-2	-1	0.99	8	1	Layer1 Label	0	1	7	9	Layer2 Label	Layer3 Label
95	Lobe6	5	4	-9	0.77	5	2	Layer1 Label	-4	6	9	7	Layer2 Label	Layer3 Label
